iteration,score,A_survival,B_tcl,C_environment,D_recovery,E_cost,F_mass,G_ops_physics
1,58.275751,0.0,0.625,5.52563,3.780701,20.0,20.0,8.34442
2,63.193561,7.6,0.625,7.262324,4.513926,17.440203,17.806653,7.945455
3,71.33734,20.0,10.0,9.977324,5.9727,8.363258,8.345114,8.678944
4,81.684867,20.0,10.0,9.977324,5.94805,13.534074,13.482952,8.742467
5,81.684867,20.0,10.0,9.977324,5.94805,13.534074,13.482952,8.742467
6,81.684867,20.0,10.0,9.977324,5.94805,13.534074,13.482952,8.742467
7,82.157585,20.0,10.0,9.977324,5.974994,13.815324,13.752183,8.63776
8,82.157585,20.0,10.0,9.977324,5.974994,13.815324,13.752183,8.63776
9,83.528346,20.0,10.0,9.977324,6.146213,14.570518,14.511019,8.323272
10,83.744635,20.0,10.0,9.977324,6.086741,14.627376,14.569439,8.483755
11,83.744635,20.0,10.0,9.977324,6.086741,14.627376,14.569439,8.483755
12,83.744635,20.0,10.0,9.977324,6.086741,14.627376,14.569439,8.483755
13,83.892306,20.0,10.0,9.977324,6.067842,14.709357,14.653015,8.484768
14,83.892306,20.0,10.0,9.977324,6.067842,14.709357,14.653015,8.484768
15,83.892306,20.0,10.0,9.977324,6.067842,14.709357,14.653015,8.484768
16,83.892306,20.0,10.0,9.977324,6.067842,14.709357,14.653015,8.484768
17,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
18,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
19,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
20,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
21,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
22,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
23,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
24,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
25,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
26,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
27,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
28,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
29,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
30,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
31,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
32,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
33,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
34,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
35,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
36,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
37,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
38,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
39,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
40,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
41,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
42,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
43,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
44,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
45,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
46,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
47,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
48,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
49,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
50,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
