iteration,score,A_survival,B_D_system,E_F_footprint,G_ops_physics
1,58.275751,0.0,9.931331,40.0,8.34442
2,61.487351,20.0,25.999324,6.740185,8.747842
3,64.566486,20.0,25.999324,9.81932,8.747842
4,66.104395,20.0,26.021546,11.769839,8.31301
5,66.104395,20.0,26.021546,11.769839,8.31301
6,66.274749,20.0,26.096546,11.629878,8.548325
7,66.155657,20.0,26.040296,11.699859,8.415502
8,66.274749,20.0,26.096546,11.629878,8.548325
9,66.274749,20.0,26.096546,11.629878,8.548325
10,66.104395,20.0,26.021546,11.769839,8.31301
11,66.274749,20.0,26.096546,11.629878,8.548325
12,66.274749,20.0,26.096546,11.629878,8.548325
13,66.104395,20.0,26.021546,11.769839,8.31301
14,66.274749,20.0,26.096546,11.629878,8.548325
15,66.274749,20.0,26.096546,11.629878,8.548325
16,66.104395,20.0,26.021546,11.769839,8.31301
17,66.274749,20.0,26.096546,11.629878,8.548325
18,66.155657,20.0,26.040296,11.699859,8.415502
19,66.274749,20.0,26.096546,11.629878,8.548325
20,66.13939,20.0,26.011268,11.685863,8.442259
21,66.274749,20.0,26.096546,11.629878,8.548325
22,66.104395,20.0,26.021546,11.769839,8.31301
23,66.274749,20.0,26.096546,11.629878,8.548325
24,66.274749,20.0,26.096546,11.629878,8.548325
25,66.104395,20.0,26.021546,11.769839,8.31301
26,66.274749,20.0,26.096546,11.629878,8.548325
27,66.155657,20.0,26.040296,11.699859,8.415502
28,66.274749,20.0,26.096546,11.629878,8.548325
29,66.261142,20.0,26.026268,11.573895,8.660979
30,66.274749,20.0,26.096546,11.629878,8.548325
31,66.104395,20.0,26.021546,11.769839,8.31301
32,66.274749,20.0,26.096546,11.629878,8.548325
33,66.362865,20.0,26.037518,11.489918,8.835429
34,66.274749,20.0,26.096546,11.629878,8.548325
35,66.362865,20.0,26.037518,11.489918,8.835429
36,66.362865,20.0,26.037518,11.489918,8.835429
37,66.104395,20.0,26.021546,11.769839,8.31301
38,66.362865,20.0,26.037518,11.489918,8.835429
39,66.137269,20.0,25.999324,11.349958,8.787987
40,66.362865,20.0,26.037518,11.489918,8.835429
41,66.104395,20.0,26.021546,11.769839,8.31301
42,66.362865,20.0,26.037518,11.489918,8.835429
43,65.982438,20.0,25.999324,11.209996,8.773118
44,66.362865,20.0,26.037518,11.489918,8.835429
45,66.104395,20.0,26.021546,11.769839,8.31301
46,66.362865,20.0,26.037518,11.489918,8.835429
47,66.362865,20.0,26.037518,11.489918,8.835429
48,66.104395,20.0,26.021546,11.769839,8.31301
49,66.362865,20.0,26.037518,11.489918,8.835429
50,66.362865,20.0,26.037518,11.489918,8.835429
