iteration,score,A_survival,B_tcl,C_environment,D_recovery,E_cost,F_mass,G_ops_physics
1,58.275751,0.0,0.625,5.52563,3.780701,20.0,20.0,8.34442
2,79.77912,20.0,10.0,9.977324,6.022,12.485087,12.528898,8.765811
3,84.105078,20.0,10.0,9.977324,6.048944,14.735087,14.682744,8.660979
4,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
5,84.105078,20.0,10.0,9.977324,6.048944,14.735087,14.682744,8.660979
6,84.039986,20.0,10.0,9.977324,6.048944,14.791337,14.73659,8.485791
7,84.205432,20.0,10.0,9.977324,6.084944,14.678837,14.628898,8.835429
8,84.048052,20.0,10.0,9.977324,6.022,14.622587,14.575052,8.851089
9,83.992281,20.0,10.0,9.977324,6.051722,14.847587,14.790437,8.325211
10,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
11,84.105078,20.0,10.0,9.977324,6.048944,14.735087,14.682744,8.660979
12,84.039986,20.0,10.0,9.977324,6.048944,14.791337,14.73659,8.485791
13,84.030914,20.0,10.0,9.977324,6.066122,14.813837,14.758129,8.415502
14,84.029815,20.0,10.0,9.977324,6.087722,14.833525,14.776975,8.354269
15,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
16,84.105078,20.0,10.0,9.977324,6.048944,14.735087,14.682744,8.660979
17,84.080125,20.0,10.0,9.977324,6.060944,14.763212,14.709667,8.568978
18,84.008979,20.0,10.0,9.977324,6.033944,14.8054,14.750052,8.442259
19,84.008979,20.0,10.0,9.977324,6.033944,14.8054,14.750052,8.442259
20,83.992281,20.0,10.0,9.977324,6.051722,14.847587,14.790437,8.325211
21,83.992281,20.0,10.0,9.977324,6.051722,14.847587,14.790437,8.325211
22,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
23,84.105078,20.0,10.0,9.977324,6.048944,14.735087,14.682744,8.660979
24,84.131512,20.0,10.0,9.977324,6.119222,14.770243,14.716398,8.548325
25,84.008979,20.0,10.0,9.977324,6.033944,14.8054,14.750052,8.442259
26,84.008979,20.0,10.0,9.977324,6.033944,14.8054,14.750052,8.442259
27,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
28,83.992281,20.0,10.0,9.977324,6.051722,14.847587,14.790437,8.325211
29,84.032625,20.0,10.0,9.977324,6.085472,14.822978,14.766879,8.379972
30,84.131512,20.0,10.0,9.977324,6.119222,14.770243,14.716398,8.548325
31,84.008979,20.0,10.0,9.977324,6.033944,14.8054,14.750052,8.442259
32,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
33,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
34,78.669741,18.0,8.541667,9.89338,4.05,14.946025,14.884667,8.354002
35,84.105078,20.0,10.0,9.977324,6.048944,14.735087,14.682744,8.660979
36,84.205432,20.0,10.0,9.977324,6.084944,14.678837,14.628898,8.835429
37,84.048052,20.0,10.0,9.977324,6.022,14.622587,14.575052,8.851089
38,84.039986,20.0,10.0,9.977324,6.048944,14.791337,14.73659,8.485791
39,84.205432,20.0,10.0,9.977324,6.084944,14.678837,14.628898,8.835429
40,84.105078,20.0,10.0,9.977324,6.048944,14.735087,14.682744,8.660979
41,84.233482,20.0,10.0,9.977324,6.141722,14.706962,14.655821,8.751653
42,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
43,84.039986,20.0,10.0,9.977324,6.048944,14.791337,14.73659,8.485791
44,84.062366,20.0,10.0,9.977324,6.117722,14.819462,14.763514,8.384344
45,84.080125,20.0,10.0,9.977324,6.060944,14.763212,14.709667,8.568978
46,83.992281,20.0,10.0,9.977324,6.051722,14.847587,14.790437,8.325211
47,83.993223,20.0,10.0,9.977324,6.044222,14.858134,14.800533,8.31301
48,84.039986,20.0,10.0,9.977324,6.048944,14.791337,14.73659,8.485791
49,84.008979,20.0,10.0,9.977324,6.033944,14.8054,14.750052,8.442259
50,84.080125,20.0,10.0,9.977324,6.060944,14.763212,14.709667,8.568978
