apply_proposals_path,axis_actor_decision,axis_actor_survival,axis_cost,axis_environment_trajectory,axis_mass,axis_physical_response,axis_resource_recovery,axis_tcl,candidate_crew_remaining,candidate_min_o2,candidate_peak_co2,candidate_score,collected_evidence_count,config_ars,config_ogs,config_wrs,constraint_status,crew_lost,crew_remaining,decision_source,design_penalty,evidence_missing_in_proposal,expected_crew_remaining,expected_min_o2,expected_peak_co2,expected_score,final_status,final_water,iteration,llm_turn_count,min_o2,missing_evidence_count,parse_note_count,peak_co2,physics_gate_passed,proposal_ars,proposal_ogs,proposal_wrs,required_evidence_count,score,selected_candidate_id,theory_ars_coverage,theory_ars_required_nameplate,theory_ogs_coverage,theory_ogs_required_nameplate,theory_wrs_coverage,theory_wrs_request_limited,tool_call_count,tool_counts,total_cost_musd,total_mass_kg,total_volume_m3,trace_candidates_run
,3.372093,0.0,20.0,5.52563,20.0,4.972327,3.780701,0.625,50,5.42,2.89,54.56996,7,4.5,9.25,10.0,over_budget,50,0,design_decision_loop:budget_reached,0.44606249159042555,0,50,5.42,2.89,,provisional_final,71.86388491294602,1,2,1.43,0,0,8.65,True,30.0,55.0,10.0,7,58.275751,candidate_001,0.2163,20.8,0.2202,42.0,6.4,True,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",829.7963963963964,5555.675675675675,20.02972972972973,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/01/applied_proposals.json,3.689024,20.0,0.0,9.977324,0.0,4.910371,5.993241,10.0,50,5.42,2.89,60.805511,7,30.0,55.0,10.0,over_budget,0,50,design_decision_loop:budget_reached,0.3219645011009625,0,50,5.42,2.89,,provisional_final,55.8013968754992,2,1,5.42,0,0,2.89,True,24.0,46.0,3.2,7,54.56996,candidate_001,1.4423,20.8,1.3095,42.0,6.4,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",670.5481981981982,4519.837837837838,16.280864864864864,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/02/applied_proposals.json,3.74269,20.0,3.236326,9.977324,3.001014,4.960915,6.022,10.0,50,5.42,2.89,64.026552,7,24.0,46.0,3.2,over_budget,0,50,design_decision_loop:budget_reached,0.2899179134652325,0,50,5.42,2.89,,provisional_final,55.74665953080399,3,1,5.42,0,0,2.89,True,22.0,44.0,1.8,7,60.940269,candidate_001,1.1538,20.8,1.0952,42.0,2.048,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",629.881006006006,4253.540540540541,15.284450450450452,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/03/applied_proposals.json,3.607306,20.0,4.892831,9.977324,4.665372,4.851213,6.065377,10.0,50,5.42,2.89,64.651124,7,22.0,44.0,1.8,over_budget,0,50,design_decision_loop:budget_reached,0.28297441300365506,0,50,5.42,2.89,,provisional_final,56.11954771478801,4,1,5.42,0,0,2.89,True,21.5,43.5,1.7,7,64.059423,candidate_001,1.0577,20.8,1.0476,42.0,1.152,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",621.120457957958,4195.716216216217,15.067846846846846,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/04/applied_proposals.json,3.546025,20.0,5.249676,9.977324,5.026774,4.815886,6.043772,10.0,50,5.67,2.89,66.081882,7,21.5,43.5,1.7,over_budget,0,50,design_decision_loop:budget_reached,0.26893121458108193,0,50,5.67,2.89,,provisional_final,57.323246036210605,5,1,5.42,0,0,2.89,True,20.8,42.0,1.6,7,64.659457,candidate_001,1.0337,20.8,1.0357,42.0,1.088,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",603.0482582582583,4077.2432432432433,14.657369369369368,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/05/applied_proposals.json,3.527668,20.0,5.985814,9.977324,5.76723,4.797543,6.051722,10.0,50,5.67,2.89,65.739401,7,20.8,42.0,1.6,over_budget,0,50,design_decision_loop:budget_reached,0.2682476008547747,0,50,5.67,2.89,,provisional_final,56.19249286413764,6,1,5.67,0,0,2.89,True,,,1.44,7,66.107301,candidate_001,1.0,20.8,1.0,42.0,1.024,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",602.1482582582582,4071.6432432432434,14.636569369369369,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/06/applied_proposals.json,3.226744,0.0,20.0,5.52563,20.0,4.900328,3.793357,0.625,50,5.42,2.89,60.027199,7,4.5,9.25,1.44,over_budget,50,0,design_decision_loop:budget_reached,0.32721588401562784,0,50,5.42,2.89,,provisional_final,72.05371824627932,7,1,1.43,0,0,8.65,True,24.0,48.0,1.8,7,58.071059,candidate_001,0.2163,20.8,0.2202,42.0,0.9216,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",677.7542792792792,4568.135135135135,16.379945945945945,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/07/applied_proposals.json,3.581395,20.0,2.942799,9.977324,2.699155,4.826882,5.999644,10.0,50,5.43,2.89,64.754439,7,24.0,48.0,1.8,over_budget,0,50,design_decision_loop:budget_reached,0.2820737866341056,0,50,5.43,2.89,,provisional_final,56.2446616455196,8,2,5.42,0,0,2.89,True,21.6,43.2,1.71,7,60.027199,candidate_001,1.1538,20.8,1.1429,42.0,1.152,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",619.8001013513514,4187.471621621622,15.053651351351352,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/08/applied_proposals.json,3.557692,20.0,5.303458,9.977324,5.078302,4.824292,6.087444,10.0,50,5.67,2.89,66.101454,7,21.6,43.2,1.71,over_budget,0,50,design_decision_loop:budget_reached,0.26880303700739927,0,50,5.67,2.89,,provisional_final,55.894990749421794,9,1,5.43,0,0,2.89,True,20.8,42.0,1.57,7,64.828512,candidate_001,1.0385,20.8,1.0286,42.0,1.0944,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",602.8795082582583,4076.193243243243,14.653469369369368,1
/home/one-piece/hiroto/engineering_agents/src/experiments/results/ssos_eclss_loop_design_iter/09/applied_proposals.json,3.529412,20.0,5.992688,9.977324,5.773792,4.783598,6.064922,10.0,50,5.67,2.89,65.762522,7,20.8,42.0,1.57,over_budget,0,50,design_decision_loop:budget_reached,0.2682903267126689,0,50,5.67,2.89,,provisional_final,56.3904928641376,10,1,5.67,0,0,2.89,True,,,1.45,7,66.121736,candidate_001,1.0,20.8,1.0,42.0,1.0048,False,9,"{'load_run_artifacts': 1, 'summarize_timeseries': 2, 'compute_eclss_features': 1, 'compute_theoretical_capacity': 1, 'plot_eclss_timeseries': 1, 'evaluate_design_constraints': 1, 'run_design_candidate': 1, 'compare_design_runs': 1}",602.2045082582583,4071.9932432432433,14.637869369369369,1
