iteration,score,A_survival,B_D_system,E_F_footprint,G_ops_physics
1,58.275751,0.0,9.931331,40.0,8.34442
2,63.193561,7.6,12.40125,35.246856,7.945455
3,71.33734,20.0,25.950024,16.708372,8.678944
4,81.684867,20.0,25.925374,27.017026,8.742467
5,81.684867,20.0,25.925374,27.017026,8.742467
6,81.684867,20.0,25.925374,27.017026,8.742467
7,82.157585,20.0,25.952318,27.567507,8.63776
8,82.157585,20.0,25.952318,27.567507,8.63776
9,83.528346,20.0,26.123537,29.081537,8.323272
10,83.744635,20.0,26.064065,29.196815,8.483755
11,83.744635,20.0,26.064065,29.196815,8.483755
12,83.744635,20.0,26.064065,29.196815,8.483755
13,83.892306,20.0,26.045166,29.362372,8.484768
14,83.892306,20.0,26.045166,29.362372,8.484768
15,83.892306,20.0,26.045166,29.362372,8.484768
16,83.892306,20.0,26.045166,29.362372,8.484768
17,84.029815,20.0,26.065046,29.6105,8.354269
18,84.029815,20.0,26.065046,29.6105,8.354269
19,84.029815,20.0,26.065046,29.6105,8.354269
20,84.029815,20.0,26.065046,29.6105,8.354269
21,84.029815,20.0,26.065046,29.6105,8.354269
22,84.029815,20.0,26.065046,29.6105,8.354269
23,84.029815,20.0,26.065046,29.6105,8.354269
24,84.029815,20.0,26.065046,29.6105,8.354269
25,84.029815,20.0,26.065046,29.6105,8.354269
26,84.029815,20.0,26.065046,29.6105,8.354269
27,84.029815,20.0,26.065046,29.6105,8.354269
28,84.029815,20.0,26.065046,29.6105,8.354269
29,84.029815,20.0,26.065046,29.6105,8.354269
30,84.029815,20.0,26.065046,29.6105,8.354269
31,84.029815,20.0,26.065046,29.6105,8.354269
32,84.029815,20.0,26.065046,29.6105,8.354269
33,84.029815,20.0,26.065046,29.6105,8.354269
34,84.029815,20.0,26.065046,29.6105,8.354269
35,84.029815,20.0,26.065046,29.6105,8.354269
36,84.029815,20.0,26.065046,29.6105,8.354269
37,84.029815,20.0,26.065046,29.6105,8.354269
38,84.029815,20.0,26.065046,29.6105,8.354269
39,84.029815,20.0,26.065046,29.6105,8.354269
40,84.029815,20.0,26.065046,29.6105,8.354269
41,84.029815,20.0,26.065046,29.6105,8.354269
42,84.029815,20.0,26.065046,29.6105,8.354269
43,84.029815,20.0,26.065046,29.6105,8.354269
44,84.029815,20.0,26.065046,29.6105,8.354269
45,84.029815,20.0,26.065046,29.6105,8.354269
46,84.029815,20.0,26.065046,29.6105,8.354269
47,84.029815,20.0,26.065046,29.6105,8.354269
48,84.029815,20.0,26.065046,29.6105,8.354269
49,84.029815,20.0,26.065046,29.6105,8.354269
50,84.029815,20.0,26.065046,29.6105,8.354269
